Rk,Player,Year,AllNBA,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Jimmy Butler,2015,0,SG,25,CHI,65,65,38.7,6.5,14,0.462,1.1,3,0.378,5.4,11.1,0.484,0.502,5.9,7.1,0.834,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,20
2,Vander Blue,2015,0,SG,22,LAL,2,1,37,4.5,15,0.3,1,5,0.2,3.5,10,0.35,0.333,1,2.5,0.4,1,3.5,4.5,4,1.5,0,3,2,11
3,James Harden,2015,1,SG,25,HOU,81,81,36.8,8,18.1,0.44,2.6,6.9,0.375,5.4,11.3,0.48,0.511,8.8,10.2,0.868,0.9,4.7,5.7,7,1.9,0.7,4,2.6,27.4
4,Kyrie Irving,2015,1,PG,22,CLE,75,75,36.4,7.7,16.5,0.468,2.1,5,0.415,5.6,11.4,0.491,0.532,4.2,4.9,0.863,0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9,21.7
5,Andrew Wiggins,2015,0,SF,19,MIN,82,82,36.2,6.1,13.9,0.437,0.5,1.5,0.31,5.6,12.3,0.453,0.454,4.3,5.7,0.76,1.6,2.9,4.6,2.1,1,0.6,2.2,2.3,16.9
6,Anthony Davis,2015,1,PF,21,NOP,68,68,36.1,9.4,17.6,0.535,0,0.2,0.083,9.4,17.5,0.54,0.536,5.5,6.8,0.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4
7,LeBron James,2015,1,SF,30,CLE,69,69,36.1,9,18.5,0.488,1.7,4.9,0.354,7.3,13.6,0.536,0.535,5.4,7.7,0.71,0.7,5.3,6,7.4,1.6,0.7,3.9,2,25.3
8,John Wall,2015,0,PG,24,WAS,79,79,35.9,6.6,14.8,0.445,0.8,2.7,0.3,5.7,12,0.478,0.473,3.6,4.6,0.785,0.5,4.2,4.6,10,1.7,0.6,3.8,2.3,17.6
9,Carmelo Anthony,2015,0,SF,30,NYK,40,40,35.7,9,20.2,0.444,1.5,4.5,0.341,7.4,15.7,0.474,0.482,4.7,5.9,0.797,1.8,4.8,6.6,3.1,1,0.4,2.2,2.2,24.2
10,Trevor Ariza,2015,0,SF,29,HOU,82,82,35.7,4.5,11.1,0.402,2.4,6.8,0.35,2.1,4.3,0.485,0.509,1.5,1.7,0.853,0.9,4.7,5.6,2.5,1.9,0.2,1.7,2.3,12.8
11,Damian Lillard,2015,0,PG,24,POR,82,82,35.7,7.2,16.6,0.434,2.4,7,0.343,4.8,9.6,0.5,0.506,4.2,4.9,0.864,0.6,4,4.6,6.2,1.2,0.3,2.7,2,21
12,Victor Oladipo,2015,0,SG,22,ORL,72,71,35.7,6.6,15.1,0.436,1.2,3.4,0.339,5.4,11.6,0.464,0.474,3.6,4.4,0.819,0.7,3.5,4.2,4.1,1.7,0.3,2.8,2.6,17.9
13,Ty Lawson,2015,0,PG,27,DEN,75,75,35.5,5.4,12.3,0.436,0.9,2.7,0.341,4.5,9.6,0.463,0.474,3.5,4.8,0.73,0.6,2.6,3.1,9.6,1.2,0.1,2.5,1.7,15.2
14,LaMarcus Aldridge,2015,1,PF,29,POR,71,71,35.4,9.3,19.9,0.466,0.5,1.5,0.352,8.8,18.5,0.475,0.479,4.3,5.1,0.845,2.5,7.7,10.2,1.7,0.7,1,1.7,1.8,23.4
15,Chris Bosh,2015,0,C,30,MIA,44,44,35.4,7.8,16.9,0.46,1.4,3.8,0.375,6.4,13.1,0.485,0.503,4.1,5.3,0.772,1,6,7,2.2,0.9,0.6,2.2,1.6,21.1
16,Rudy Gay,2015,0,SF,28,SAC,68,67,35.4,7.5,16.4,0.455,1.2,3.2,0.359,6.3,13.2,0.479,0.491,5,5.8,0.858,1.4,4.4,5.9,3.7,1,0.6,2.7,2.3,21.1
17,Blake Griffin,2015,1,PF,25,LAC,67,67,35.2,8.6,17.1,0.502,0.1,0.4,0.4,8.4,16.7,0.504,0.506,4.6,6.4,0.728,1.9,5.7,7.6,5.3,0.9,0.5,2.3,2.9,21.9
18,DeMar DeRozan,2015,0,SG,25,TOR,60,60,35,6.8,16.5,0.413,0.4,1.5,0.284,6.4,15,0.426,0.426,6,7.2,0.832,0.7,3.9,4.6,3.5,1.2,0.2,2.3,2,20.1
